,Teal_Account,Ads_Account,similarity_score
57992,BancoBPI,BancoBVBR,71
143846,MolekuleInc,MolekuleUS,76
215396,WestdeutscheLotterieGmbHCoOHG,WestdeutscheLotterieGmbHCoOHGDE,97
474519,PorscheAG,PorscheIT,78
477175,PorscheAG,PorscheES,78
477666,PorscheAG,PorscheCA,89
485432,PorscheAG,PorscheUK,78
485433,PorscheAG,PorscheAGDE,90
485435,PorscheAG,PorscheUS,78
514225,AnimalFriendsInsurance,AnimalFriendsInsuranceUK,96
578113,cosnovaGmbH,CosnovaGmbHDE,83
643781,VGWHoldingsLimited,SuntoryHoldingsLimited,75
793495,Argenta,ArenaDE,71
793496,Argenta,ArenaIT,71
839106,GroupeBPCE,GroupeSEBES,76
840840,GroupeBPCE,GroupeSEBCA,76
841853,GroupeBPCE,GroupeSebBE,76
842584,GroupeBPCE,GroupeSEBJP,76
844943,GroupeBPCE,GroheBE,71
848650,GroupeBPCE,GroupePSADE,76
848651,GroupeBPCE,GroupeSEBDE,76
916427,ECGHolding,CGolden,71
997965,JetSmartSpA,PetSmartCA,76
1020051,ABCBenefitsCorporation,AcmeUnitedCorporationUS,71
1020167,ABCBenefitsCorporation,AlenCorporationUS,72
1020807,ABCBenefitsCorporation,BenesseCorporationJP,76
1062605,GuzmanyGomezHoldingsLimited,SuntoryHoldingsLimited,73
1076371,TelecommunicationSE,JupiterTelecommunicationsJP,74
1094289,LautsprecherTeufelGmbH,LautsprecherTeufelGmbHDE,96
1113708,UnipolSaiAssicurazioniSpA,PrimaAssicurazioniSpAIT,75
1137723,MonashUniversity,SyracuseUniversity,71
1142328,MonashUniversity,AlgomaUniversityCA,71
1147097,MonashUniversity,ManipalUniversityUAE,72
1147524,MonashUniversity,MurdochUniversityAU,74
1176939,AGLEnergyLimited,AGLEnergyLimitedAU,94
1399744,UniversityofSydney,UniversityofWesternSydneyAU,80
1403092,UniversityofSydney,UniversityofSanDiegoUS,75
1412391,UniversityofSydney,UniversityofSiliconValleyUS,71
1510869,TenetHealthcareCorporation,EasyHealthcareCorporationES,79
1510870,TenetHealthcareCorporation,EasyHealthcareCorporationDE,79
1554605,MLimited,MarsLimitedJP,76
1567613,MLimited,ROMWELimitedUS,73
1608219,MitsubishiMotorsCorporation,MitsubishiMotorsJP,71
1618571,MitsubishiMotorsCorporation,MitsubishiMotorsAU,71
1621263,MitsubishiMotorsCorporation,TanabeMitsubishiPharmaCorporationJP,71
1758395,NRGEnergy,NRGEnergyUS,90
1797780,PurpleInnovationLLC,PurpleInnovationUS,86
1835941,MorganAutoGroup,CochranAutoGroupUS,79
1836529,MorganAutoGroup,PohankaAutoGroupUS,73
1936788,AdventHealth,adventhealth,83
1981124,CarglassNL,CarglassBE,80
1981125,CarglassNL,CarglassIT,80
2040048,TUICruisesGmbH,TUICruisesGmbHDE,93
2043454,StepStoneDeutschlandGmbH,BeamSuntoryDeutschlandGmbHDE,73
2043923,StepStoneDeutschlandGmbH,PerrigoDeutschlandGmbH,74
2045296,StepStoneDeutschlandGmbH,CanonDeutschlandGmbHDE,74
2047862,StepStoneDeutschlandGmbH,LifeScanDeutschlandGmbHDE,73
2050446,StepStoneDeutschlandGmbH,BestwayDeutschlandGmbHDE,71
2051550,StepStoneDeutschlandGmbH,DexcomDeutschlandGmbH,76
2057060,StepStoneDeutschlandGmbH,SolisDeutschlandGmbHDE,74
2058540,StepStoneDeutschlandGmbH,WestlandDeutschlandGmbHDE,73
2068379,CarglassGmbH,CarglassBE,73
2068380,CarglassGmbH,CarglassIT,73
2238806,Medica,RMediaUS,71
2240253,Medica,FWMedicalUK,71
2258865,NJMInsurance,AAMIInsuranceAU,74
2264635,NJMInsurance,NextInsuranceUS,74
2323518,AJProductsGroupAB,AllstarProductsGroupUS,72
2338714,NavTechnologiesInc,ArloTechnologiesIncUS,77
2345562,NavTechnologiesInc,LEDTechnologiesIncUS,79
2354662,NavTechnologiesInc,UberTechnologiesIncUS,77
2375462,Bestow,BestopUS,71
2512682,ToyotaFinancialServicesCorporation,auFinancialServiceCorporationJP,86
2653212,ReeceUSA,RecessUS,75
2653636,ReeceUSA,ReefUS,71
2657172,ReeceUSA,YeecoreUS,71
2667193,ReeceUSA,ReyeeUS,80
2761352,MitoQ,MitoQUS,83
3141555,GapInc,GapIncUS,86
3142958,GapInc,GapIncCA,86
3151945,GapInc,GapIncTR,86
3162565,MINDBODYINC,MINDBODHIUS,73
3265370,CharterCommunicationsInc,FrontierCommunicationsUS,75
3266567,CharterCommunicationsInc,RogersCommunicationIncCA,75
3287626,BeachbodyLLC,BeachbodyUS,78
3315927,MTBank,TDBankUS,71
3322601,MTBank,FMBankUS,71
3328298,MTBank,MSBankUK,71
3328299,MTBank,MTBankUS,86
3352880,BluestemBrandsInc,YumBrandsIncCA,71
3420591,USAA,USAAUS,80
3445663,ATT,ATTMX,75
3603161,DesignerBrandsInc,AspireBrandsIncUS,71
3644967,ShutterflyLLC,ShutterflycomUS,71
3723406,HSBCBankPlc,HSBCBankCA,76
3736539,VISA,VISABR,80
3738524,VISA,VISAMX,80
3750912,VISA,VISABE,80
3770516,UnderArmour,UnderArmourUS,92
3771678,UnderArmour,UnderArmourCA,92
3785676,UnderArmour,UnderArmourAU,92
3785677,UnderArmour,UnderArmourDE,92
3785678,UnderArmour,UnderArmourMX,92
3785679,UnderArmour,UnderArmourUK,92
3787218,CarharttInc,CarharttUS,76
3788553,CarharttInc,CarharttCA,76
3822961,TheTeachingCompanySalesWondrium,TheTeachingCompanyUK,71
3857396,SamsungElectronicsAmericaInc,SamsungElectronicsJAPANJP,72
3857941,SamsungElectronicsAmericaInc,SamsungElectronicsDE,75
3961534,HyattCorporation,WellaCorporationUS,71
3961762,HyattCorporation,IntelCorporationUS,71
3962962,HyattCorporation,HearstCorporationUS,80
3966355,HyattCorporation,EarthCorporationJP,76
3975318,HyattCorporation,PallCorporationUS,73
3977745,HyattCorporation,VFCorporationES,71
3978916,PVHCorp,PVHCorpUS,88
3997447,AlaskaAirlinesInc,AlaskaAirlinesUS,85
4112401,Humana,HumanaUS,86
4165134,LibertyMutualInsurance,JewelersMutualInsuranceUS,72
4173305,LinkedIn,LinkedInDE,89
4220615,SallieMaeBank,SallieMaeUS,75
4238247,ShawCablesystemsGP,ShawCablesystemsGPCA,95
4345410,MCompany,MCompanyUS,89
4346400,MCompany,WDCompanyUS,74
4360072,MCompany,SACompanyUS,74
4361925,MCompany,WDCompanyIT,74
4372221,GreenbrierInternationalInc,CourrierInternationalFR,73
4373988,GreenbrierInternationalInc,HeiferInternationalUS,72
4460887,GoDaddycomLLC,GoDaddycomCA,88
4460888,GoDaddycomLLC,GoDaddycomUK,80
4490212,LLBeanInc,LLBeanJP,71
4518943,VivintInc,VivintUS,71
4528932,SunLifeAssuranceCompanyofCanada,CanadaLifeAssuranceCompanyCA,75
4535330,SunLifeAssuranceCompanyofCanada,SunLifeAssuranceCompanyofCanadaCA,97
4659805,CampbellSoupCompany,CampbellSoupCompanyUS,95
4746689,AmericanExpressKabbageInc,AmericanExpressUS,71
4747396,AmericanExpressKabbageInc,AmericanExpressDE,71
4747639,AmericanExpressKabbageInc,AmericanExpressUK,76
4747659,AmericanExpressKabbageInc,AmericanExpressCA,71
4747882,AmericanExpressKabbageInc,AmericanExpressIT,76
4748371,AmericanExpressKabbageInc,AmericanExpressAU,71
4748379,AmericanExpressKabbageInc,AmericanExpressFR,71
4750401,AmericanExpressKabbageInc,AmericanExpressES,71
4751198,AmericanExpressKabbageInc,AmericanExpressJP,71
4754765,AmericanExpressKabbageInc,AmericanExpressAE,71
4754766,AmericanExpressKabbageInc,AmericanExpressNL,71
4767691,BJCHealthCare,NHealthCareDE,77
4912489,BestWesternInternationalInc,BlessInternationalUS,72
5008733,BalsamBrandsInc,HanesBrandsIncUS,71
5036452,FourSeasonsHotelsLimited,FourSeasonsHotelsUS,79
5129272,TrueCarInc,TrueCarUS,74
5156143,AmericanHomeShieldCorporation,AmericanHomeShieldUS,73
5208050,DayBlindsInc,DayBlindsUS,78
5272897,MarksandSpencerPLC,MarksSpencerUK,75
5307494,eHealth,iHealthCA,75
5308920,eHealth,UVAHealth,75
5309626,eHealth,iHealthUK,75
5314639,eHealth,CueHealthUS,78
5316836,eHealth,JSHealthUS,71
5322400,eHealth,iHealthDE,75
5384747,EquineNetwork,DisneyNetworkBE,71
5417621,SYSCOCorporation,ASICSCorporationJP,76
5418180,SYSCOCorporation,BBSSCorporationJP,79
5419820,SYSCOCorporation,ENEOSCorporationJP,71
5421763,SYSCOCorporation,KYOCERACorporationJP,72
5424261,SYSCOCorporation,RCNCorporationUS,75
5425463,SYSCOCorporation,TBCCorporationUS,75
5426178,SYSCOCorporation,VFCorporationES,71
5436558,Cinemark,CinemarkBR,89
5472397,EquinixInc,EquinoxIntCA,73
5472398,EquinixInc,EquinoxIntUS,73
5598508,CompassionInternational,PlanInternationalDE,71
5671045,Xometry,XometryUS,88
5707695,VertexPharmaceuticals,RohtoPharmaceuticalJP,71
5715635,VertexPharmaceuticals,CarePharmaceuticalsAU,81
5719447,VertexPharmaceuticals,MerzPharmaceuticalsLLCUS,76
5721438,VertexPharmaceuticals,SantenPharmaceuticalJP,74
5723118,VertexPharmaceuticals,WNPharmaceuticalsCA,75
5889964,MarketAmericaInc,CJClarkAmericaIncUS,74
5987902,CancerResearchUK,BasicResearchUS,71
5994823,CancerResearchUK,CancerResearchUK,100
6001126,CancerResearchUK,StansberryResearchUS,72
6038991,GlaxoSmithKlineLLC,GSKGlaxoSmithKlineES,79
6041102,GlaxoSmithKlineLLC,GlaxoSmithKlineKKJP,81
6043348,GlaxoSmithKlineLLC,GSKGlaxoSmithKlineSE,79
6048768,GlaxoSmithKlineLLC,GSKGlaxoSmithKlineNL,84
6124054,CreceraBrandsLLC,USCraftBrandsLLCUS,71
6323129,TheSalvationArmy,SalvationArmyCA,84
6407348,RoyalMail,RoyalMailUK,90
6457840,RoyalCaribbeanCruisesLtd,RoyalCaribbeanCruisesUK,89
6471611,RoyalCaribbeanCruisesLtd,RoyalCaribbeanCruiseLinesUS,82
6471612,RoyalCaribbeanCruisesLtd,RoyalCaribbeanCruisesAU,89
6525756,VirginAustraliaAirlinesPtyLtd,VirginAustraliaAirlinesAU,85
6545801,ComparetheMarketLimited,CompareTheMarketUK,73
6600444,AllianzTechnologySE,YiTechnologyUS,73
6605359,AllianzTechnologySE,BrilliantTechnologyUS,80
6609355,AllianzTechnologySE,MazTechnologyUS,76
6610314,AllianzTechnologySE,PAITechnologyUS,71
6651687,LaRedoute,LaRedouteFR,90
6684617,VarideskLLC,VarideskUS,76
6733594,SantanderBankNA,SantanderBankUS,87
6817394,INSEAD,INSEDE,83
6826861,LloydsBankGroupPlc,LloydsBankplcUK,79
6841000,SynchronyFinancial,SynchronyFinancialUS,95
6859190,PandoraAS,PandoraCA,89
6860107,PandoraAS,PandoraDE,78
6861654,PandoraAS,PandoraES,89
6872198,PandoraAS,PandoraIT,78
6872199,PandoraAS,PandoraUS,89
6886925,HeathrowAirportLtd,HeathrowAirportUK,86
6942395,ProvidenceHealthandServices,ProvidenceHealthServicesUS,91
6945568,AdidasAG,AdidasUS,75
6948551,AdidasAG,AdidasAE,88
6949063,AdidasAG,AdidasSA,88
6951734,AdidasAG,AdidasTR,75
6952363,AdidasAG,AdidasCA,88
6953417,AdidasAG,AdidasDE,75
6953419,AdidasAG,AdidasBR,75
6953420,AdidasAG,AdidasUK,75
7018948,EurostarInternationalLtd,FroneriInternationalLtdUK,78
7035956,MarletteTechnologiesLLC,AmcrestTechnologiesLLCUS,77
7041668,MarletteTechnologiesLLC,BrydgeTechnologiesLLCUS,74
7225099,InsuletCorporation,IntelCorporationUS,78
7228942,InsuletCorporation,DuelCorporationJP,74
7229688,InsuletCorporation,PIACorporationJP,71
7232723,InsuletCorporation,AlenCorporationUS,74
7233363,InsuletCorporation,BenesseCorporationJP,74
7335063,IntesaSanpaoloVita,IntesaSanpaoloIT,82
7524845,BBVASA,BBVAES,83
7791487,AzulLinhasAereas,AzulLinhasAereasBR,94
8195532,BancodeSabadellSA,GrupoBancoSabadellES,76
8294868,IntesaSanPaolo,IntesaSanpaoloIT,87
8317090,FastShop,FastShopBR,89
8324150,NECCorporation,ATTCorporationUS,73
8324978,NECCorporation,MAMACorporationUS,71
8325231,NECCorporation,AlmoCorporationUS,71
8328355,NECCorporation,DuelCorporationJP,71
8329101,NECCorporation,PIACorporationJP,73
8329105,NECCorporation,EarthCorporationJP,75
8329107,NECCorporation,DomeCorporationJP,71
8331938,NECCorporation,ASICSCorporationJP,75
8332136,NECCorporation,AlenCorporationUS,71
8332497,NECCorporation,BBSSCorporationJP,71
8334137,NECCorporation,ENEOSCorporationJP,81
8336080,NECCorporation,KYOCERACorporationJP,71
8338068,NECCorporation,PallCorporationUS,71
8338578,NECCorporation,RCNCorporationUS,80
8339780,NECCorporation,TBCCorporationUS,80
8339837,NECCorporation,TPLINKCorporationUS,73
8340495,NECCorporation,VFCorporationES,76
8430781,Group,HHGroupFR,71
8431929,Group,GroupMUAE,71
8435323,Group,GroupUpFr,71
8442490,Group,OMGroupUS,71
